Artist,Album,Year,Label,Played on RKoL Date,Condition,Condition Notes,Generic Notes On Album Content
Cheech and Chong,Big Bambu,1972,Ode 77014,10/29/10,,,
Cheech and Chong,Sleeping Beauty,1976,Ode 77040,n/a,,,
Doug Clark And The Hot Nuts,Nuts To You,,Gross Record Co. GR 101,n/a,,,
Jerry Clower,Live In Picayune,1975,MCA Records MCA-486,05/28/12,G+,Pops and skips.  need better version.,
Jerry Clower,Clower Power,1973,MCA Records MCA-317,02/28/12,VG+,dup,
Jerry Clower,Mississippi Talkin',1971,MCA Records MCA-333,08/27/12,VG+,,
Jerry Clower,Mississippi Talkin',1971,MCA Records MCA-333,10/29/12,VG,,
Myron Cohen,This Is Myron Cohen,,RCA Victor VPS-6052,n/a,,,
Tim Conway and Ernie Anderson,are we on?,1966,Liberty LRP-3512,09/08/10,,,
Pat Cooper,More Saucy Stories From ... Pat Cooper,,United Artists UAS 6690,n/a,,,
Billy Crystal,Mahvelous!,1985,A&M SP 5096,10/26/10,,,
Bill Dana,Jose Jimenez Our Secret Weapon,,Kapp KL-1320,n/a,,,
Bill Dana,The first man in space Jose Jimenez The Astronaut,1960,Kapp KL-1238,09/15/10,,,
Rodney Dangerfield,The Loser,,Decca DL 74798,n/a,,,
Rodney Dangerfield,The Loser,1977,Rhino RNLP 012,03/15/11,,,
Billy Devroe,Trip Around The World,,Laff A119,09/16/10,,,
Phyllis Diller,Laughs,,Verve V-15026,,G+,Cover torn and taped. needs cleaning,
Phyllis Diller,What's Left of Phyllis Diller,,Verve V-15059,n/a,,,
Phyllis Diller,Are You Ready for Phyllis Diller?,,Verve V-15031,n/a,,,
Earle Doud and Alen Robin,Welcome to the LBJ Ranch!,,Capitol/EMI W2423,n/a,VG+,,
W.C. Fields,The Original Voice Tracks From His greatest Movies,,Decca DL 79164,n/a,VG,Needs Cleaning,
W.C. Fields,W.C. Fields on Radio with Edgar Bergen & Charlie McCarthy,,Columbia Hall of Fame Series CS 9890,09/11/12,VG,,
The Firesign Theater,Don't Crush That Dwarf Hand Me The Pliers,1970,Columbia C 30102,03/06/12,VG,Cover in bad shape. needs to be replaced,
The Firesign Theater,I Think We're All Bozos On This Bus,1971,Columbia C 30737,06/11/12,VG,Cover has pretty bad ring wear,
The Flagpole Singers, Folks Songs of Madison Avenue,,MGM SE 4234,09/18/12,VG, Cover is disintegrating,
Redd Foxx,He's Funny That Way,,Dooto DTL-815,08/31/10,,,
Redd Foxx,Adults Only,,Dooto DTL-840,n/a,,,
Redd Foxx,Uncensored,,Laff A210,n/a,,,
Henry Gibson,... by Henry Gibson,,Liberty LST-7593,01/16/12,VG,,
Michale Greer,Tallula in Heaven,,Rip Rap Records RRR 1010,02/13/12,VG,,
Hal Holbrook,Mark Twain Tonight!,,Columbia OL-6680,01/24/12,G,Needs Cleaning,
Hudson & Landry,Hanging In There,,Dove LP 324,09/05/11,,,
Spike Jones,New Band,,Liberty LRP-3349,11/09/11,,,
Spike Jones,The Hilarious Spike Jones,1976,Pickwick ACL-7031,n/a,,,
Spike Jones,Dinner Music For People Who Arent' Very Hungry,,Verve Records MG V-4005,n/a,,,
Spike Jones,Spike Jones Is Murdering The Classics!,1971,RCA LSC-3235,n/a,,,
Spike Jones,The Best Of Spike Jones Vol. 2,1977,RCA ANL1-2312,n/a,,,
Spike Jones,Thank You Music Lovers!,,RCA Victor LPM-2224,n/a,,,
Alan King,Alan King in Suburbia,1960,Seeco Records SAW-2101,08/15/11,,,
Sam Kinison,Louder Than Hell,1986,Warner Brothers 1-25503,08/24/10,,,
Sam Kinison,Have You Seen Me Lately?,1988,Warner Brothers 1-25748,07/02/12,VG,,
Robert Klein,New Teeth,1975,Epic BL 33535,01/02/12,,,
Robert Klein,Child of the 50's,1973,Brut 6001,08/02/10,,,
Ted Knight,Hi Guys,1975,Ranwood R-8149,11/14/11,,,
Elsa Lanchester,Bawdy Cockney Songs,1968,Everest Tradition 2065,03/12/11,,,
Elsa Lanchester,More Bawdy Cockney Songs Vol. II,XXXX,Everest Tradition 2091,,VG,Very light scratched and handwritten name of previous owner on cover,
Tom Lehrer,An Evening Wasted With Tom Lehrer,1959,Lehrer Records TL-202,04/23/12,G,Cover is shot. needs replacement,
Tom Lehrer,That Was The Year That Was,1965,Reprise RS-6179,08/20/10,,,
Tom Lehrer,Songs By Tom Lehrer,,Trans Radio TR 740,n/a,G,Cover is shot. needs replacement,
Jimmy Lynch,He Do's It Again,,La Val Records LVP 902,12/19/11,,,
Jimmy Lynch,That Funky Tramp In A Nite Club Volume 1,,La Val Records LVP 901,n/a,,,
Moms Mabley,Moms Mabley At Geneva Conference,1962,Chess LP 1463,n/a,,,
Moms Mabley,Moms Mabley At The White House Conference,1966,Mercury MG 21090,n/a,,,
Moms Mabley,Moms Mabley Breaks Up The Network,,Chess LPS 1525,n/a,,,
Moms Mabley,The Best Of Moms Mabley,1968,Mercury SR-61139,n/a,,no cover,
Moms Mabley,Moms Mabley At The Playboy Club,1961,Chess LP 1460,n/a,G+,good cover. poor quality and very dirty record,
Steve Martin,Let's Get Small,1977,Warner Brothers BSK-3090,08/13/09,,,
Steve Martin,A Wild And Crazy Guy,1978,Warner Brothers HS 3238,01/28/11,,,
Steve Martin,Comedy Is Not Pretty,1979,Warner Brothers HS 3392,05/22/11,,,
Jackie Mason,I Want To Leave You With The Words Of A Great Comedian,1963,Verve Records V-15034,n/a,,,
Jackie Mason,I'm The Greatest Comedian In The World Only Nobody Knows It Yet,1962,Verve Records B-15033,10/24/11,,,
Bob & Doug McKenzie,Great White North,,Anthem Records ANR-1-1036,05/15/12,VG,Needs Cleaning,
Bob & Doug McKenzie,Promo 12” Single Twelve Days of Christmas + Take Off,1981,Mercury MK 184,,,,
Martin Mull,Days of Wine and Neuroses,1975,Capricorn Records CP 0155,06/18/12,VG,,
Martin Mull,No Hits Four Errors – The Best of Martin Mull,1977,Capricorn Records CPN-0195,04/02/12,VG,Cover cut for demo purposes?,
Martin Mull,Perfect,1979,Elektra Records SE-200 SP,08/22/11,,,
Martin Mull,Sex & Violins,1978,ABC Records AA-1064,10/15/12,,,
Eddie Murphy,Eddie Murphy: Comedian,1983,Columbia FC 39005,08/25/10,,,
National Lampoon,Radio Dinner,,Banana Records BTS-38,10/10/11,,,
National Lampoon,Greatest Hits of the National Lampoon,1978,Visa Records 7008,n/a,,,
National Lampoon,Lemmings,1973,MCA Records BT-6006,10/03/12,VG,,
National Lampoon,Good-bye Pop 1952-1976,1975,Epic PE 33956,10/10/12,VG,,
National Lampoon,Gold Turkey,1975,Epic PE 33410,10/22/12,VG,,
National Lampoon,Stereo Test and Demonstration Record,1974,NLR 1001,10/08/12,VG,,
National Lampoon,That's Not Funny That's Sick!,1974,Import/Jem Records IMP-2001,09/24/12,VG,,
Bob Newhart,Bob Newhart Faces Bob Newhart (faces Bob Newhart),1964,Warner Brothers W 1517,02/01/11,,,
Bob Newhart,The Button-Down Mind of Bob Newhart,1961,Warner Brothers W 1379,06/29/11,,,
Bob Newhart,The Best Of Bob Newhart!,1971,Warner Brothers 1672,n/a,,,
Bob Newhart,The Very Funny Bob Newhart,,Harmony HS 11344,n/a,,,
Bob Newhart,The Button-Down Mind Strikes Back,1960,Warner Brothers W 1393,n/a,,,
Bob Newhart,Behind The Button Down Mind,,Warner Brothers W 1417,n/a,,,
Don Novello,Father Guido Sarducci:  Live at St. Douglas Convent,1980,Warner Brothers BSK 3440,01/13/11,,,
The Best Of “What's His Name”,Jack Paar,,Ramrod Superecords R8001,01/09/12,,,
Barry Louis Polisar,Off-Color Songs for Kids, 1983,Rainbow Morning Music Alternatives 5141,09/25/12,,,
Richard Pryor,Wanted,1978,Warner Brothers 2BSK 3364,07/05/10,,,
Richard Pryor,Are You Serious???,1976,Laff A196,09/10/10,,,
Richard Pryor,Richard Pryor meets Richard & Willie and the SLA,1976,Laff A188,09/14/10,,,
Richard Pryor,Live On The Sunset Strip,1982,Warner Brothers BSK 3660,09/07/10,,,
Richard Pryor,Insane,1980,Laff A209,09/22/10,,,
Richard Pryor,Craps (After Hours),1971,Laff A146,03/17/11,,,
Richard Pryor,Bicentennial Nigger,1976,Warner Brothers BS 2960,09/24/11,,,
Richard Pryor,That Nigger's Crazy,1974,Warner Brothers MS 2441,01/23/12,,Poor Quality,
Richard Pryor,Is It Something I Said?,1975,Reprise MS-2227,02/20/12,VG,Cover wear,
Monty Python,Monty Python Live! At City Center,1976,Arista AL 4073,04/30/12,VG+,,
Monty Python,Matching Tie and Handkerchief,1973,The Famouse Charisma Label CAS 1080,08/06/12,G,Cover is shot. needs replacement,
Gilda Radner,Live From New York,1979,Warner Brothers HS-3320,06/22/11,,,
Don Rickles,Hello Dummy!,1968,Warner Brothers WS 1745,n/a,,,
Alen Robin,Super Shrink,,Janus Records JXS 7001,n/a,,,
Roger & Roger,Roger & Roger Digest The Stars,,Dingo D2002,n/a,,,
Joe E. Ross,Should Lesbians Be Allowed To Play Pro Football,1973,Laff A164,n/a,VG,,
Mort Sahl,Anyway ... Onward,1967,Mercury MG 21112,n/a,,,
Kermit Schafer,The Best Of Bloopers,,MCA Records MCA-159 (KS-3576),n/a,,,
Kermit Schafer,All Time Great Bloopers:  Collected by Kermit Schafer,,Brookville Records 406-2,n/a,,,
Paul Shaffer, When The Radio Is On: 12" Single, Capitol V-15424,,VG+,Very clean playback, some light warping noticeable,Not really comedy but it is fun
Allan Sherman,My Son The Nut,1963,Warner Brothers WS-1501,06/04/12,G+,Cover warn and torn. needs cleaning. scratches in vinyl.,
Allan Sherman,My Son The Folk Singer,1962,Warner Brothers W 1475,05/21/12,G+,Cover stains. needs cleaning. some scratches,
Don Sherman,The FIRST of the Sit Down Comics,,Laff A186,n/a,,,
Skiles & Henderson,Do it do it do it!,,Liberty LST-7596,n/a,,,
The Smothers Brothers,At The Purple Onion,1961,Mercury MG 20611,n/a,,,
The Smothers Brothers,The Two Sides Of The Smother's Brothers,1962,Mercury MG 20675,n/a,,,
The Smothers Brothers,Think Ethnic!,1963,Mercury MG 20777,n/a,,,
The Smothers Brothers,mom always LIKED YOU BEST,1966,Mercury MG 21051,07/11/11,,,
The Smothers Brothers,Curb your tongue, knave!,1963,Mercury SR 60862,n/a,,
The Smothers Brothers,It must have been something I said!,1964,Mercury MG 20904,n/a,VG+,,
The Smothers Brothers,Tour De Farce American History and Other Unrelated Subjects,1965,Mercury MG 20948,n/a,VG+,,
The Smothers Brothers,Smothers Brothers Comedy Hour,1968,Mercury SR 61193,n/a,VG+,,
The Smothers Brothers,Golden Hits of the Smothers Brothers Vol. 2,1969,Mercury SR 61089,n/a,VG,Cover moisture damage and ring wear. vinyl needs a good cleaning,Master audio quality is poor as only one microphone is audible at a time.
The Smothers Brothers,Aesop's Fables The Smothers Brothers Way,1965,Mercury MG 20989,05/29/12,G+,Playable, mostly clean.  Cover is ok.
Al Sparks,I Heard It At The Barber Shop,,La Val Records LVP 903,10/17/11,,,
Russ Spooner,You've Just Been Spoonerized,1972,Mega M51-5007,n/a,,,
David Steinberg,Booga! Booga!,1974,Columbia KC 32563,n/a,,,
David Steinberg,Disguised as a Normal Person,1970,Elektra Records EKS-74065,08/20/12,VG,,
Ray Stevens,Shriner's Convention,1980,RCA AHL1-3574,n/a,VG,light mold on cover, label damage. needs pro clean
Ray Stevens,Unreal !!!,1970,Barnaby Records Z 30092,n/a,VG,First Play Vinyl, insect eaten cover/paper
Lily Tomlin,This Is A Recording,1971,Polydor 24-4055,08/29/11,,,
Lily Tomlin,Modern Scream,1975,Polydor PD 6051,07/04/11,,,
Clay Tyson,Digs The Beatnicks,,Up Front UPF-117,n/a,,,
Betty Walker,Hello Ceil – It's Me!!!,,Columbia CS-9744,12/12/11,,,
Rusty Warren,Sin-Sational,1961,Jubilee JG 2034,n/a,VG,,
Rusty Warren,Bounces Back,1961,Jubilee JG 2039,12/05/11,,,
Rusty Warren,Knockers Up!,1960,Jubilee JG 2029,10/03/11,,,
Rusty Warren,In Orbit,1962,Jubilee JG 2044,n/a,,,
Rusty Warren,Songs for Sinners,,Jubilee JG 2024,08/13/12,VG,,
Mae West,The Fabulous Mae West,1980,MCA Records MCA-1530,n/a,,,
Flip Wilson,The Devil Made Me Buy this Dress,,Little David LD 1000,n/a,,,
Fiip Wilson,The Flip Wilson Show w/ David Frost,,Little David LD 2000,n/a,,,
Jonathan Winters,Movies Are Better Than Ever,1966,Verve V-15057,01/20/11,,,
Jonathan Winters,The Best Of Maude Frickert & Elwood P. Suggins,1959,Verve V-15052,n/a,,,
Jonathan Winters,Jonathan Winters ... Wings It!,1969,Columbia CL 2811,02/14/11,,,
Robin Williams,Reality ... What a concept,1979,Casablanca NBLP 7162,01/14/11,,,
Robin Williams,Throbbing Python of Love,1983,Casablanca 422-811 150-1 M-1,12/31/10,,,
Woody Woodbury,Woody Woodbury Looks at Love and Life,1959,Stereoddities MW-1,11/08/10,,,
Woody Woodbury,Concert In Comedy,,Stereoddities MW-3,09/08/12,VG+,,
Woody Woodbury,Saloonatics,1961,Stereoddities MW-4,05/07/12,VG+,,
